PO Number,Rev,Operating Unit,Document Type,Description,Order Date,Buyer,Currency,Amount,Inclusive Tax,Exclusive Tax,Tax Amount,Status,Acknowledge By,Change Request Status
54779,0,BIL UP East,Standard PO,Services of O&M EB Maintenance-GKP33,4/18/2019 11:44,Mr. Vikas Biswas,INR,10200,0,1836,1836,Open,, 
54630,0,BIL UP East,Standard PO,Service For Electrical & Civil Work- NSG01-SHA03-LUK72-LUK71-PIH01-PNW01-NGW01-LUK33-RKK01-TMR01-MHY01-MJA01-HSK01-SSH01-MOO01-MWH01-LKSH01-LUK28-MHJ01-PUR01-LUK104-LUK91-LUK23-LUK49-LUK37-LUK24-BBK01-LUK17-STP03-LUK65-LUK90-LUK106-LUK227,4/17/2019 11:40,Mr. Vikas Biswas,INR,140600,0,25308,25308,Open,, 
54686,0,BIL UP East,Standard PO,Dismantling of SMPS-PPC &  Supply & Installation of Cable -FTE01- LKGP14,4/13/2019 19:26,Mrs. Reena Nigam,INR,4290,0,772.2,772.2,Open,, 
54640,0,BIL UP East,Standard PO,"Service For Electrical & Civil Work-MKR01-	GKP55",4/13/2019 19:20,Mrs. Reena Nigam,INR,13870,0,2496.6,2496.6,Open,, 
104293,2,BIL Chattishgarh,Standard PO,NBS_Fixed Services/Tower Foundation/Electrical-MPGT20602,04/12/2019 16:38,Mr. Sachin Gangrade,INR,167177,0,30091.86,30091.86,Open,, 
103385,5,BIL Madhya Pradesh,Standard PO,NBS_Fixed Services/Tower Foundation/Electrical/BW Work-MPRT20577,04/12/2019 11:32,Mr. Sachin Gangrade,INR,445459,0,80182.62,80182.62,Open,, 
103303,1,BIL Chattishgarh,Standard PO,NBS_Fixed Services/Tower Foundation/Electrical-MPRT20564,04/12/2019 11:19,Mr. Sachin Gangrade,INR,268473,0,48325.14,48325.14,Open,, 
99368,1,BIL Madhya Pradesh,Standard PO,NBS_BW Work-MPGT20361,04/10/2019 20:11,Mr. Sachin Gangrade,INR,175343.58,0,31561.85,31561.85,Open,, 
99585,1,BIL Madhya Pradesh,Standard PO,NBS_BW Work-MPGT20366,04/10/2019 20:08,Mr. Sachin Gangrade,INR,156967.5,0,28254.16,28254.16,Open,, 
99372,1,BIL Madhya Pradesh,Standard PO,NBS_BW Work-MPGT20363,04/10/2019 20:07,Mr. Sachin Gangrade,INR,176952.36,0,31851.43,31851.43,Open,, 
100634,1,BIL Chattishgarh,Standard PO,NBS_BW Work-MPGT20241,04/10/2019 19:51,Mr. Sachin Gangrade,INR,146708.91,0,26407.61,26407.61,Open,, 
54515,0,BIL UP East,Standard PO,"Service For Electrical & Civil Work- KMX01 -KUS01- SSH01- LKHD05- LUK37 -AST01 -LKHD10- LUK32- LUK19 -RUO01- LUK22- NAT01- LUK94- PTI01-	TDA0-1	NSG01",04/10/2019 12:29,Mr. Vikas Biswas,INR,97250,0,17505,17505,Open,, 
54580,0,BIL UP East,Standard PO, Supply & Installation of Cable & dismentling of SMPS -SNPD01,04/08/2019 11:11,Mrs. Reena Nigam,INR,6865,0,1235.7,1235.7,Open,, 
100635,2,BIL Chattishgarh,Standard PO,NBS_Fixed Services-MPGT20241,04/08/2019 11:01,Mr. Sachin Gangrade,INR,147226.17,0,26500.72,26500.72,Open,, 
98539,3,BIL Madhya Pradesh,Global Blanket Agreement,"GBPA For NBS,Upgrade",04/04/2019 10:30,Mr. Sachin Gangrade,INR,4800000,0,0,0,Open,, 
98537,3,BIL Madhya Pradesh,Global Blanket Agreement,"GBPA For NBS,Upgrade",04/04/2019 10:25,Mr. Sachin Gangrade,INR,4800000,0,0,0,Open,, 
54202,3,BIL UP East,Standard PO," Supply & Installation of Cable- KRU01- KMN01- KLK01 -BNA01- LUK87- LUK73- SHA06- LUK146- LUK95- LUK17- LUK59-	MJA01",04/03/2019 11:44,Mr. Vikas Biswas,INR,138778.1,0,26060.04,26060.04,Open,, 
54494,0,BIL UP East,Global Blanket Agreement,GBPA for Electrical & Civil Work,04/01/2019 18:37,Mr. Vikas Biswas,INR,5000000,0,0,0,Open,, 
